date,post_war_km2,donetsk_pct,luhansk_pct,zaporizhzhia_pct,kherson_pct,kharkiv_pct
Feb 2022,65038.54,,,,,
Mar 2022,112622.25,,,,,
Apr 2022,79205.47,,,,,
May 2022,79631.81,,,,,
Jun 2022,79787.72,,,,,
Jul 2022,80029.57,,,,,
Aug 2022,80402.94,,,,,
Sep 2022,70329.31,,,,,
Oct 2022,67638.31,,,,,
Nov 2022,63239.31,,,,,
Dec 2022,63215.31,,,,,
Jan 2023,63539.96,,,,,
Feb 2023,63576.31,,,,,
Mar 2023,63627.71,,,,,
Apr 2023,63704.31,,,,,
May 2023,63579.79,,,,,
Jun 2023,63364.36,,,,,
Jul 2023,63280.11,,,,,
Aug 2023,63244.48,,,,,
Sep 2023,63208.8,,,,,
Oct 2023,63159.25,,,,,
Nov 2023,63163.22,,,,,
Dec 2023,63195.44,,,,,
Jan 2024,63230.3,,,,,
Feb 2024,63368.25,,,,,
Mar 2024,63423.24,,,,,
Apr 2024,63509.09,,,,,
May 2024,63710.2,,,,,
Jun 2024,63760.24,,,,,
Jul 2024,63937.429,,,,,
Aug 2024,64288.089,,,,,
Sep 2024,64755.809,,,,,
Oct 2024,65294.649,,,,,
Nov 2024,65996.8,,,,,
Dec 2024,66404.8,,,,,
Jan 2025,66832.27,,,,,
Feb 2025,67356.05,,,,,
